segment_name,department,sales_value,baskets,households,segment_sales,segment_baskets,segment_households,sales_share_pct,basket_penetration_pct,household_penetration_pct,overall_sales_share_pct,sales_share_index_vs_all
High-basket-value established shoppers,CHEF SHOPPE,1184.41,383,198,3470600.52,83753,881,0.03412694699878625,0.4572970520458968,22.474460839954595,0.028430852971012964,1.2003490374903916
High-basket-value established shoppers,SEAFOOD,14398.07,1567,364,3470600.52,83753,881,0.4148581756104848,1.8709777560206797,41.316685584563,0.3660828512387514,1.1332357530725283
High-basket-value established shoppers,PRODUCE,270850.67,35734,881,3470600.52,83753,881,7.804144223432548,42.665934354590284,100.0,6.918296966588833,1.128044121424943
High-basket-value established shoppers,AUTOMOTIVE,216.76,30,29,3470600.52,83753,881,0.006245605011319481,0.03581961243179349,3.2917139614074915,0.005617910732433529,1.111730910080526
High-basket-value established shoppers,SPIRITS,10227.46,776,229,3470600.52,83753,881,0.2946884823263957,0.9265339749023915,25.993189557321227,0.26895477694799436,1.0956804176167403
High-basket-value established shoppers,COSMETICS,15128.6,2308,574,3470600.52,83753,881,0.4359072705953493,2.755722183085979,65.15323496027243,0.40162079690831964,1.085370264565399
High-basket-value established shoppers,DELI,121513.6,14683,852,3470600.52,83753,881,3.5012269288774265,17.531312311200793,96.7082860385925,3.2375769099376153,1.0814343647344864
High-basket-value established shoppers,FLORAL,17686.32,1661,520,3470600.52,83753,881,0.5096040266829672,1.9832125416402995,59.02383654937571,0.4921330012875796,1.0355006174137433
High-basket-value established shoppers,DRUG GM,468238.39,41831,881,3470600.52,83753,881,13.491566871545333,49.945673587811775,100.0,13.097915247016676,1.0300545252511326
High-basket-value established shoppers,GROCERY,1788911.19,68038,881,3470600.52,83753,881,51.544716244092534,81.2364930211455,100.0,50.80781128128997,1.014503773026608
High-basket-value established shoppers,SEAFOOD-PCKGD,27551.65,3652,680,3470600.52,83753,881,0.7938582917056671,4.360440820030327,77.18501702610669,0.7830475963108796,1.013805923734035
High-basket-value established shoppers,DAIRY DELI,31.7,21,21,3470600.52,83753,881,0.0009133865974295422,0.025073728702255445,2.383654937570942,0.0009088490322451893,1.004992650069884
High-basket-value established shoppers,MEAT-PCKGD,170613.45,21726,869,3470600.52,83753,881,4.915963361867992,25.940563323104843,98.63791146424518,5.118704892487118,0.9603920259367372
High-basket-value established shoppers,MEAT,225331.52,20242,866,3470600.52,83753,881,6.492580137111256,24.168686494812125,98.29738933030647,6.81092544511449,0.9532596105230332
High-basket-value established shoppers,RESTAURANT,806.8,153,62,3470600.52,83753,881,0.023246697375588477,0.18268002340214679,7.037457434733257,0.024657447812419117,0.9427860317270916
High-basket-value established shoppers,PASTRY,48581.65,11220,851,3470600.52,83753,881,1.3998052994010384,13.396535049490765,96.59477866061293,1.5108992755245776,0.9264716199662165
High-basket-value established shoppers,GM MERCH EXP,39.77,10,10,3470600.52,83753,881,0.0011459111981000913,0.01193987081059783,1.1350737797956867,0.0012547403681549723,0.9132655863978392
High-basket-value established shoppers,SALAD BAR,12006.55,2904,475,3470600.52,83753,881,0.3459502161314722,3.4673384833976097,53.91600454029511,0.3841578144175203,0.9005419209186715
